X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
 all,mit,0.23705,0.20103534,0.019610003,0.23705,5.087463,0.1897753
 call4,mit,0.21407,0.17042677,0.013050005,0.21407,5.087463,0.20890963
 rl, all,0.20916,0.16513216,0.0147600025,0.20916,5.087463,0.2098281
 call4, all,0.19796,0.17482966,0.05420001,0.19796,5.087463,0.15208663
 call4, rl,0.1266,0.12594524,0.046289995,0.1266,5.087463,0.025588328
 rl,mit,0.12591,0.11985471,0.016119998,0.12591,5.087463,0.07781573
