all0,all1,all2,all3,all4,all5,all6,all7,all8,all9,all10,all11,all12,all13,all14,call0,call1,call2,call3,call4,call5,call6,call7,call8,call9,call10,call11,call12,call13,call14,mit0,mit1,mit2,mit3,mit4,mit5,mit6,mit7,mit8,mit9,mit10,mit11,mit12,mit13,mit14,rl0,rl1,rl2,rl3,rl4,rl5,rl6,rl7,rl8,rl9,rl10,rl11,rl12,rl13,rl14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,3469,1421,1982,60708,47163,29540,7322,35707,42418,69877,26557,48002,40021,17981,35,1055,461,134,21412,20844,12209,3026,3442,3610,6064,2695,1039,745,79,38,1198,483,220,27954,21798,13451,2715,4220,5291,10216,3772,1936,1699,250,65,2214,1294,786,47188,54359,22581,10522,16858,14549,33095,19121,10263,11714,2323
89,3376,1603,2313,54667,48730,26128,8450,36073,37297,74558,31879,50827,50353,22882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,2179,1264,752,48158,53149,22079,10239,16385,14621,32056,18360,9651,10931,2134
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,613,134,37,14887,6646,7668,466,974,2363,1894,388,273,104,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,2221,1203,750,46748,51687,23969,9263,16607,14784,32395,17357,10203,10880,2211
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,2053,912,573,49666,42180,22941,6004,12871,14815,26868,11572,8036,7180,1479
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,525,111,25,13333,5227,6198,371,808,1922,1167,247,195,58,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2130,1092,678,48902,48107,22793,8084,14633,14687,30021,14918,9138,9248,1970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,2052,804,471,49186,39409,25240,5262,12563,15693,23027,9091,7519,5428,1044
