rl,call4,all,mit,
6127,0,55741,6420524,
6445,1,76860,5963154,
7168,1,58725,3140526,
11621,35,92888,2261555,
2272,21,49946,2650811,
7865,44,69975,3339234,
17672,1,139479,5120012,
9390,31,84216,4488018,
1576,0,47466,3795015,
358,0,38909,4974930,
2510,0,123730,2902819,
4694,3,74691,5847633,
6931,4,41845,4848922,
5740,19,51327,5396939,
4608,13,76386,5378380,
5629,2,77525,4762760,
5499,20,67459,3715092,
12780,29,103028,2898079,
8258,22,84851,3228524,
6836,2,105789,2761963,
12418,0,75656,3274565,
20019,1,159797,4512367,
6067,14,65038,4733458,
12641,11,80637,5867190,
11090,3,93715,3968886,
6899,7,68654,4986370,
7347,5,101966,5055497,
1828,6,72782,7304454,
4113,8,54783,5964898,
4470,3,61411,6842369,
4423,5,74972,5187904,
9822,10,104864,4719090,
6024,0,101320,4029445,
10057,13,85249,5513635,
3541,5,77597,6134716,
5024,3,63280,6307720,
2916,2,59090,6502524,
1943,7,121536,6654453,
7693,2,107575,8523375,
5733,7,98467,5960194,
15345,2,134139,8471105,
16465,1,183563,6171956,
8820,1,126993,6341216,
2994,0,115607,6668206,
4875,24,106553,5681384,
3238,0,104064,5556275,
5714,0,113472,5566058,
11192,0,96783,8716043,
3381,0,66240,3505495,
2277,0,55236,5796974,
8780,0,55688,2716825,
4267,0,61238,3914206,
4462,0,49584,2750248,
6452,0,56614,2835214,
6718,7,100498,2419723,
3033,0,48614,3350998,
3192,2,65616,7152147,
5956,0,62311,4184942,
6892,4,100181,5606974,
6680,0,55036,6305282,
2221,15,62645,5557467,
3213,8,81776,8661078,
3006,10,75032,4918234,
2996,5,86767,6224965,
881,6,34094,6141896,
1193,4,47202,5902443,
4637,3,72481,6821784,
3733,2,104703,4964141,
3304,6,74712,5684175,
4015,0,53587,5706633,
1377,0,142651,7077124,
1450,6,79293,5325966,
1627,0,65411,5444843,
5271,2,127470,5882943,
2760,11,60814,5185872,
1649,3,136755,4042136,
5932,8,103611,5205654,
676,22,55684,5558324,
10876,2,117800,8304386,
6233,7,110750,6913947,
3596,4,107027,8164029,
1593,12,79687,6459538,
2358,0,82077,6637736,
1047,6,59199,6027144,
6147,6,114046,7568071,
9320,2,87125,4143641,
7501,2,148375,5136101,
4084,4,119936,3586059,
3162,9,45542,6187833,
5416,13,65115,6220232,
4480,10,72924,5979489,
10287,17,235526,4797742,
4167,5,109588,5852627,
7242,2,85746,5451147,
9752,8,86638,5086801,
16683,23,227165,5656024,
6210,0,126172,7983788,
2998,0,75592,7108862,
2468,0,107818,9574768,
1421,0,40616,7542356,
1555,0,60023,6559785,
1301,7,43497,5378476,
685,5,37485,8341531,
2912,2,84338,5935165,
1706,3,77135,8693932,
1382,5,36003,6655249,
818,5,24608,7699646,
2720,3,99018,8584419,
2238,3,110352,7101531,
8049,1,95006,5831247,
1373,5,88776,7003402,
4813,4,107761,7785371,
1749,0,88530,7423253,
1175,0,34809,11784929,
1737,0,48601,8887751,
454,1,48657,6128148,
1418,1,55207,7356943,
636,0,93296,7164977,
2707,0,103123,7078253,
1768,2,34224,6409651,
2306,3,79987,6371066,
4388,5,63558,8373743,
477,7,28260,4499332,
2933,3,75345,3298134,
1354,11,29023,4821428,
2277,4,58525,7770302,
5518,2,98792,10098643,
3326,4,82702,8021940,
1968,0,58244,5201653,
4978,7,70188,4904316,
3107,4,56118,6067072,
3447,14,66504,8332841,
275,0,8305,6180150,
844,6,10387,5651753,
2586,0,68181,7372784,
3643,4,69816,8856615,
3991,0,31597,6113567,
1606,4,42526,5030699,
5024,0,90495,7076997,
2346,2,25614,5850158,
5952,8,63740,3850134,
2716,0,54571,5531068,
4706,6,80049,6947878,
3798,0,55336,6303899,
4371,3,71622,6993501,
3328,0,47907,7521401,
7159,19,93657,6774136,
917,0,26683,5963536,
2825,8,52794,5599436,
8004,11,105994,6158123,
1788,1,104239,8404792,
2004,3,69000,7115816,
3669,0,59944,8056931,
898,6,26009,5978142,
1266,10,78445,6951134,
424,4,42531,5676392,
404,2,36984,6809716,
588,5,21333,4803485,
690,17,39705,9331474,
2231,5,72228,4800597,
1321,15,38542,6378396,
831,15,58526,4707162,
857,15,24826,5667464,
649,0,42599,5408906,
423,5,19157,5344590,
1261,9,57395,5258098,
1869,2,43743,5308231,
349,11,45498,5146351,
3208,2,48051,4291952,
2000,0,98296,6234996,
3599,0,57084,5048931,
3094,0,66771,3107589,
1823,4,30162,5905007,
1536,36,27788,2546690,
1903,50,21588,1638827,
2423,21,4863,2676814,
5946,8,38955,3549538,
3075,7,56022,5262643,
86,0,3950,3353470,
115,0,14319,751832,
679,0,42025,548,
1192,5,24494,1319851,
80752,271,988958,25858676,
8325,0,165332,278829,
5054,2,57209,8011265,
2570,2,34588,5539954,
1645,0,13708,2273263,
4414,0,76713,2445574,
276,1,12181,3664056,
1141,0,18997,6485030,
2294,2,19604,6088293,
3299,2,35041,5340796,
1615,4,19526,9178513,
2480,2,41029,6356383,
3523,1,21820,8980848,
3393,0,50250,5312251,
6277,2,48828,7396547,
4078,0,70356,8194007,
1890,9,37650,10128947,
4024,1,49373,6431689,
473,14,46119,8242829,
986,7,16110,7384709,
1906,0,67429,5499216,
1991,12,38222,7015682,
5910,2,76592,7936303,
7246,4,75076,7679816,
1659,77,34867,5254923,
1340,43,58892,10053902,
3031,0,61415,6102791,
2563,15,39803,4302837,
4041,54,38059,9685185,
4376,30,24146,3218962,
8347,6,76342,6890169,
1353,14,16040,1242044,
974,8,11509,2385424,
1950,4,16955,1937272,
1891,38,6623,1223202,
1223,22,9422,2062137,
2151,12,21100,1804020,
2635,53,12742,1949508,
5132,0,59385,6568544,
17644,2,326137,4661381,
9839,0,91294,6443637,
1791,2,41009,6586365,
2540,15,49702,5113394,
1015,3,61738,6717240,
1042,4,35258,9059132,
931,11,20841,7252060,
1491,12,53299,6790851,
2532,2,33819,6572956,
3644,8,75527,6777605,
3417,0,50760,6385047,
5494,15,66066,8131407,
5300,4,49338,6195659,
6133,2,57114,5756005,
8310,15,80870,7301033,
14315,5,112887,4561948,
5494,8,48795,8749786,
1655,2,43449,5786936,
3168,4,48299,8205289,
1614,0,46835,5883294,
1675,2,41642,7821265,
1781,0,30177,7369676,
2300,5,41684,7113656,
1527,2,40954,5706841,
1465,5,50026,4565298,
745,8,16371,5322736,
1914,12,43713,3815528,
4623,2,62047,5576893,
7243,0,70359,7278906,
3039,0,93536,6698694,
11190,0,97245,5897046,
2593,0,49556,9015030,
2658,0,48578,7749575,
7594,0,85523,4551071,
2224,3,28370,2694928,
5847,0,40671,6139858,
2924,3,35387,3931844,
9572,0,100293,494093,
210526,0,1217525,3355679,
2281,4,59327,7150076,
1192,3,37217,6911303,
1461,10,62256,7272925,
3355,4,82251,8411348,
1781,8,26871,9744002,
624,7,47273,7788457,
718,7,32281,9311199,
2643,9,74238,8087244,
1424,23,47573,8675281,
681,7,43076,11331932,
693,10,58593,10039646,
989,0,70956,9867060,
1799,30,47931,7171761,
368,0,41987,8288762,
570,3,46805,9729575,
205,11,19218,8631694,
221,3,26779,6962973,
392,1,33034,8482398,
917,41,34725,8941351,
688,25,47820,11971807,
1361,46,58557,10200723,
828,19,37655,12021105,
1766,19,46154,10972705,
2389,4,43730,9781318,
605,12,28742,9283470,
422,0,28600,8942631,
851,32,29381,10577915,
133,9,23095,9744216,
1271,52,60141,10884756,
686,26,31151,7046552,
508,10,24836,7949639,
773,3,41271,10554105,
765,1,39356,6821935,
3160,20,67085,11389305,
879,33,44341,7274394,
361,6,26904,6911900,
924,13,43555,9849892,
1648,13,56485,9359560,
1751,4,49002,10521840,
637,12,51061,11920620,
2809,51,79686,9896853,
95,22,27007,9151626,
582,8,29607,9087215,
803,2,48912,9128532,
614,11,18784,8993746,
230,0,35349,7678204,
72,0,31629,8509688,
263,0,34437,7806014,
692,0,30899,7748915,
671,3,71069,7370106,
1395,7,78614,8054050,
512,4,35328,7902811,
789,2,33009,8309352,
792,0,50239,9500989,
1154,1,59219,11523733,
745,8,36366,11030548,
670,4,38122,9247149,
2134,22,84156,9774595,
207,13,43145,12047136,
357,17,44334,9885064,
426,4,79200,11404411,
705,9,42237,7021451,
590,14,46929,9609206,
395,6,27585,7686326,
1416,42,47155,10391046,
449,11,51841,10320414,
569,0,35147,12502139,
628,9,40546,10856564,
621,0,53693,8058064,
363,3,46820,8214581,
537,9,34782,8540149,
291,4,45946,10295575,
615,4,52905,10422406,
431,23,46299,11218844,
750,8,41993,9713909,
1162,16,52297,6694287,
1706,11,43976,7547899,
568,9,40163,7243225,
1267,3,16425,9106644,
1800,8,33221,6130343,
857,30,42322,6394962,
1352,2,50079,7578125,
1797,0,39171,7085756,
2513,18,38144,8222603,
1970,24,60361,9133878,
807,0,14314,9453796,
521,4,37264,7127409,
3991,2,87134,9556648,
650,6,42687,9347359,
980,8,43116,5707241,
690,3,37032,12067785,
1377,3,97615,11430458,
1482,14,48728,9695838,
658,2,50863,9644605,
1786,0,52401,9541401,
660,8,34081,9596746,
493,1,24828,13051310,
701,5,50205,7913228,
625,7,33162,8230199,
1416,10,59941,7887639,
724,20,60009,6270298,
1341,14,61389,7062629,
1385,6,26912,6401390,
522,10,64117,7317655,
1293,8,46677,6945552,
590,0,13646,9118958,
417,32,32194,8364531,
659,0,33310,7996244,
1479,26,78887,5919992,
1292,18,54491,5787542,
237,4,20420,7288821,
308,8,37334,7230642,
148,9,24820,9791936,
641,6,23634,8109495,
3120,51,138014,7480157,
580,3,68681,6989569,
3236,3,92052,8928492,
978,62,83964,8600184,
1447,21,61906,7030830,
446,10,35155,8682998,
294,19,34229,8982274,
576,12,68903,5706632,
295,11,32785,4935190,
1382,3,54732,6254481,
357,20,32424,8359643,
950,18,43052,5662071,
712,9,50370,6826409,
1946,38,68613,7787489,
2753,8,66987,8141344,
2119,9,57417,7701681,
2130,23,95692,7179642,
576,23,58331,5679586,
946,1,43767,7420184,
603,0,37402,8318141,
2064,9,63768,9652796,
1868,0,86313,10177128,
3438,1,83058,7223916,
2020,0,47431,4555988,
4364,0,81747,7023312,
2056,0,55791,5133798,
2036,0,83994,6119476,
1391,0,38068,6657264,
3030,3,96837,7078295,
4205,12,85133,6794796,
1488,8,32330,7361866,
344,2,19300,9384130,
2419,6,37831,10666286,
2262,7,111989,7413089,
