rl,call4,all,mit,
55399,5,283490,14112957,
18101,17,175513,12557706,
26742,1,187899,8755969,
31398,190,296110,7405892,
14444,146,205669,5466124,
63472,226,223090,9685910,
29974,31,336825,11500767,
12375,1023,148920,11291101,
12666,28,267980,9116918,
5952,0,234036,12013071,
19345,0,554930,7651283,
36150,165,271476,12873410,
25507,45,188759,10894591,
21665,150,240897,11337344,
20379,201,227264,11054686,
34211,46,260853,9714486,
39473,58,183435,9030024,
55921,150,385955,7779527,
38924,206,281115,8162796,
37430,15,233221,9236090,
38552,587,224054,9035546,
50687,103,414760,11866286,
25386,219,228186,11483810,
35747,272,181474,12807877,
33420,43,273287,8218256,
41023,33,215451,9783009,
34990,253,408023,10926164,
19654,20,303452,14775173,
19967,20,172872,12547928,
25862,12,244534,13476167,
34353,31,298110,10820633,
29312,34,206682,10161557,
28189,65,373887,10303890,
51767,89,329387,11485143,
14316,193,288688,11859536,
27448,134,282261,12558123,
19755,93,255147,12535999,
13622,119,418757,12735710,
32081,3,258162,15626574,
31312,67,246959,11678898,
52590,207,285817,15280952,
40813,20,413174,12289135,
34125,37,453442,13122192,
24185,1,399668,12987168,
24402,625,409621,10749321,
25655,0,347732,10809715,
36515,1,381928,11244654,
38483,13,294955,16244376,
27433,10,273299,9229166,
20759,10,298020,13126536,
46694,211,247458,8909839,
53719,60,362012,10339468,
52381,69,336456,8337398,
55573,0,244528,8570660,
29994,274,237046,8113350,
38954,6,281192,9725470,
33037,9,329019,14732110,
36221,19,263796,11570055,
33846,42,249462,12262840,
50260,1,359669,13066248,
21029,2,309238,11444393,
30487,52,387280,15156288,
24572,41,225972,11777505,
37948,3,446845,11419901,
16811,28,198275,13122693,
17079,13,248475,12012597,
27385,23,341574,12002139,
35074,25,338717,10621912,
26316,29,409844,11085878,
37388,5,283951,10821366,
13479,0,649621,13503318,
20332,6,409932,11616006,
19174,0,271778,10255700,
45637,11,477233,10753640,
20076,253,239340,9951243,
16527,48,514953,8601364,
25485,30,299882,11288382,
17171,80,226828,12545779,
54156,10,341533,14850940,
47892,117,399471,11959832,
31188,46,528116,14522665,
24376,11,287821,12051453,
16281,0,358048,12320407,
9747,101,275491,10588506,
31431,574,313770,14050661,
54163,126,364952,9942593,
31441,207,344189,12040396,
20904,34,389160,9567561,
17841,12,251358,13618920,
45853,10,321895,12685558,
37373,4,418438,13478884,
52559,239,451948,10658217,
27784,9,399075,11781065,
35634,171,357940,11391320,
71914,34,378543,11663007,
60219,278,430537,10315446,
34477,7,313037,14850125,
47325,51,343051,12873438,
27916,4,444532,16087976,
19986,6,289221,12798640,
14606,1,263851,11503118,
17694,48,225425,10922406,
5440,7,170594,14953634,
20259,8,393103,11223924,
10492,40,347609,14976958,
20819,24,212454,11926861,
9648,23,184242,12950334,
29108,33,329513,13617020,
41736,3,542958,12215901,
45275,4,286144,9888735,
17332,636,295931,11807697,
33133,102,386527,13657035,
14410,11,314901,12356620,
7910,0,184907,17821640,
9187,2,236229,14521953,
9661,19,381361,12111559,
8796,14,213175,13649728,
10893,14,546686,12758513,
20574,0,424460,12764640,
12326,14,231764,10621109,
25381,409,267312,12647080,
23546,25,215410,14981121,
3744,68,202797,10195483,
33376,27,308263,9507495,
10907,33,140771,11486157,
27446,103,326100,15381294,
22644,28,228447,17275988,
28474,36,383863,14806558,
12327,37,285725,10050291,
29344,171,271022,9549288,
17344,135,185421,13317920,
22301,74,251752,14410340,
4295,0,54832,12697042,
5146,3,55355,10525032,
18086,0,370338,13487592,
37381,10,332860,15398784,
39250,18,224217,12272080,
19796,57,249932,10484749,
37962,30,385998,14581961,
28026,27,190597,12852134,
31634,120,259228,10922164,
15943,5,321379,12978623,
38386,17,388976,14271256,
19492,0,211195,12190534,
27948,9,360470,13202709,
23397,0,227518,14600741,
43974,582,342027,14464015,
8697,0,131685,12885500,
19753,602,286778,12883057,
51192,240,332666,13554450,
25644,10,544081,13666783,
22528,66,337367,11853482,
31230,0,353258,13446216,
10292,17,175154,11712779,
14231,29,449509,12292127,
4828,210,293841,12075682,
2908,3,199043,13069203,
8451,29,184132,10335593,
12748,85,313739,15312185,
14457,75,373145,8919662,
5991,670,208264,13091810,
4880,85,296531,8519315,
5226,45,204563,12420184,
4888,1,248953,11543763,
8211,11,201065,12563791,
14935,3,340723,11357757,
14682,4,301874,10860882,
5638,641,275900,9347772,
23806,28,270144,7989391,
18646,3,466367,11286729,
30147,6,271298,11636024,
31630,69,332011,9449147,
24220,611,210039,13735081,
26726,1820,211059,5824055,
33153,3478,135375,5043435,
30778,3271,33676,7430876,
63042,784,275884,8186618,
42758,1241,409050,10989689,
2309,0,44867,8926639,
3385,48,108382,3217902,
15066,1777,569411,60402,
21662,560,198126,5407418,
478891,73211,1407973,22167831,
129042,0,926144,2316366,
42656,1697,258366,14534819,
29215,2258,172476,12607698,
32256,0,162481,7959822,
41910,5,423377,8047707,
7131,7,102715,10545000,
10175,3384,152022,13585449,
27836,31,209235,13244949,
38976,62,253079,12134407,
22974,19,211434,17092000,
29010,37,315420,13877308,
38523,280,150218,15619994,
36531,16,289043,12563434,
45539,69,313234,14876535,
49574,79,369265,14567898,
21205,2269,236876,16090420,
25255,74,278892,11618184,
8240,2445,292314,13892802,
14055,1166,154183,13302148,
15314,0,258112,10482684,
18226,29,204952,13129390,
67737,25,347682,13977789,
76678,101,430350,13531194,
11857,73,124528,11585802,
25386,5121,383222,16033531,
35306,0,452832,11675802,
42659,3323,295098,9578769,
45224,4687,197050,15232962,
29088,142,138115,8223504,
26322,272,237712,12974683,
15225,95,87514,4621094,
10472,38,49521,8142161,
38894,60,122103,6009323,
15128,4385,34727,4230694,
6286,56,36887,6519279,
15350,205,111612,5769892,
10566,5455,80496,5553302,
37886,19,348773,13121678,
145833,147,995878,11286152,
108974,0,509397,13492094,
16941,121,243528,11814495,
14161,3986,253240,10481756,
24782,6,472755,12295821,
12632,38,255113,14547954,
16689,105,190574,12482714,
22902,36,447330,12977879,
42562,184,229125,12139170,
56291,43,362929,11679384,
30485,33,234745,11412824,
22619,4009,226459,14399474,
16723,18,184432,13177607,
72034,2302,324570,12511321,
56524,66,219658,13942415,
103827,33,455077,10893281,
35458,3467,178044,15538783,
18312,25,291849,11982053,
52465,34,284126,13528593,
15508,0,235818,10883887,
17259,26,298926,13286251,
14791,28,111587,13173287,
36124,2327,307768,13434181,
31890,14,278871,10964273,
26103,21,259323,9389416,
11038,42,120282,10364345,
23995,2874,285706,7940649,
71054,87,276585,11146365,
23064,25,197984,14441084,
20541,27,503835,13808098,
48529,10,279189,12042767,
16987,9,325722,15844522,
17073,57,279493,14002054,
36107,1,379868,9974438,
10286,4023,153876,6344512,
47606,9,182149,11744783,
15210,31,212968,8391639,
103735,0,566419,2774878,
417048,1738,1872465,9217497,
55095,68,423849,11176303,
19616,47,246151,11748003,
17185,42,412634,11487997,
41899,5,447739,12960409,
19030,21,182631,14798510,
17016,6,492300,13416656,
7037,70,218722,14095183,
21788,43,284549,13093389,
22602,416,347576,12622983,
12943,51,287964,14214837,
38631,37,329908,13659712,
42271,21,461087,13880063,
18109,135,211451,11735211,
5182,111,264803,12407891,
13537,14,197713,14216939,
2385,3457,151995,12622147,
3489,14,244953,11397425,
5110,25,165493,13945679,
38442,6130,344665,13519377,
7646,69,219159,15751840,
14592,274,244849,12779061,
7573,4013,210862,15340657,
60078,34,369884,13903071,
21848,6,140080,13492248,
6503,109,132955,11604678,
25089,0,230559,12500089,
7484,254,155166,14514578,
356,44,131123,12900147,
56299,337,506996,14832732,
4646,254,220786,10587611,
5944,76,162945,11248547,
7776,73,188648,15706425,
7091,30,232369,11841953,
20809,4613,318325,13906678,
9990,119,275850,11454290,
8986,19,190664,11362142,
29256,45,179317,12723739,
45106,53,351262,12801034,
23224,45,317642,12682871,
32566,1703,418292,14091090,
63066,483,468074,12408218,
825,2291,190346,11250647,
6641,101,225448,13398016,
13580,2342,322617,11416504,
7574,124,156438,11055147,
21529,19,251167,11034433,
2735,2,250072,10913768,
3759,42,194295,11799755,
10685,4,161624,11429917,
9878,199,467709,8993149,
70470,139,565435,10217687,
9286,16,263275,11092412,
18253,9,261960,13036078,
14418,6,225139,13801416,
27714,22,387520,15708485,
11813,55,197381,14454561,
6947,2896,187866,13147004,
53910,87,403840,12521818,
23945,54,360362,14627468,
6154,4948,277697,12360495,
6867,12,411834,12849455,
41155,63,353122,9718063,
9871,42,260312,12081908,
5799,1712,251979,10209620,
22065,102,305395,12165617,
15906,108,411641,14187453,
30866,4,306879,14344486,
7354,51,208540,14062095,
44887,156,437311,11376544,
5850,19,255754,11983030,
58794,4740,394295,11626354,
7483,109,322686,12951567,
8980,28,358038,11889529,
6087,239,222045,12488791,
13598,11,309952,14255143,
13961,111,339147,10072185,
57830,21,277694,12148191,
11963,21,333556,12948117,
65294,20,192263,12872036,
24104,53,242372,12761920,
9854,5154,304106,11173189,
16048,7,252984,9832839,
52536,0,413027,11725626,
36922,112,296173,12917950,
20676,193,315903,14059399,
10509,48,131744,13687881,
11921,100,346248,12365488,
99803,4045,414439,13878220,
9902,85,272901,13639557,
12455,77,206370,10033245,
4310,11,143422,14661059,
24179,68,490388,14376626,
57356,253,208613,11254484,
53809,33,413293,14429203,
49491,0,373069,13144321,
6893,112,176565,13427556,
9802,11,246948,15700010,
11270,157,292703,10518986,
10666,77,221209,11372439,
16498,5228,272927,10689965,
11860,139,339277,8124085,
50562,87,281083,10658108,
11791,41,185353,10258242,
5386,78,360979,9948521,
13117,21,288275,9595816,
2480,15,95380,12106209,
9644,4588,247259,12505919,
5380,0,135905,11369145,
15983,401,364566,9242703,
10858,137,240923,8154924,
6084,36,206807,9886822,
2416,91,225859,10105927,
1368,46,171533,13963343,
14967,86,171360,10407308,
36484,220,427310,10293639,
9768,34,347857,11649674,
37861,66,338657,12019800,
44170,5787,253478,11658213,
11570,38,182706,10050572,
2121,45,180178,10631683,
5358,45,181838,12513764,
51739,79,536003,9700328,
3583,224,243104,7359197,
9032,50,258023,11814661,
1230,113,175451,12534574,
16479,70,252764,8753208,
37554,30,382620,10786535,
18977,94,364353,11700297,
77125,3521,428785,12264147,
22430,60,370918,11688591,
20594,40,278592,11455413,
6050,307,260493,7696341,
9845,79,246886,11742928,
4866,2,173731,12550333,
15593,195,208335,14890679,
15048,173,370824,13901151,
23657,150,273748,12903919,
10412,105,199672,9152681,
27731,10,331183,11702811,
22392,4,239962,9498573,
22480,30,398639,11168524,
13328,0,212680,11991778,
25040,281,314005,11206087,
24174,140,215662,10086907,
16495,7,177562,11380034,
3617,150,171621,13703033,
17682,33,157246,14390101,
62567,18,300601,11484019,
10979,4126,268323,7490064,
14876,21,279248,11738924,
38520,3504,388723,11669517,
37771,108,266842,9678235,
86158,41,556327,12466815,
7750,26,191280,11805518,
10950,121,182800,8425393,
15458,77,231157,10106927,
7854,19,232054,12760364,
11649,3516,133674,10421887,
6056,226,111793,11836162,
3848,627,269833,13516534,
23438,228,283311,12156536,
8846,15,199897,11706519,
6655,38,205342,13883478,
8521,124,155062,11694991,
63310,81,224029,10725048,
15655,15,229176,11590803,
8237,21,312888,11210663,
51892,74,435458,11487241,
28889,12,189677,10506889,
12706,0,253852,13676842,
36830,32,414130,8976072,
52165,48,310389,9742532,
23559,70,316857,9939688,
21414,60,271071,9179399,
27503,73,195858,10541632,
19776,23,331365,13095962,
4399,6,210464,12059861,
12730,29,216883,11454259,
6103,32,155900,8954168,
20418,281,401435,9137035,
13291,2930,327423,9856930,
15776,42,216197,12437506,
63995,103,392160,12232868,
15665,71,234467,9513254,
79874,4686,380391,9238980,
4800,69,288378,10486656,
7470,55,184102,11386112,
5548,3499,202619,13258890,
21835,17,209321,11207966,
16703,105,230003,12048494,
8184,56,192419,12073245,
6462,33,221903,12578793,
12345,0,266379,12593357,
63397,60,278430,11884721,
16635,24,263533,10748495,
16961,177,151193,11457448,
26406,103,256714,10271474,
16152,81,150814,9019503,
25398,64,212724,8462538,
12569,67,183795,10167974,
27579,166,210889,11462761,
11346,27,141619,10894802,
17517,104,196629,12404324,
11298,142,174887,9486737,
7842,86,224389,12555907,
11477,10,191003,10218159,
50044,69,255981,11506285,
75216,58,250419,7593639,
9591,143,150855,10311135,
2252,23,151420,10698570,
14309,93,228108,7498642,
30248,6,324756,9290871,
5297,82,173438,6099590,
22698,115,320936,5624578,
7289,5,149639,4685396,
15838,20,218775,7453062,
49698,92,757923,5617519,
29929,101,370677,3171638,
83496,204,1305804,4825869,
403281,0,2104657,1058898,
