rl,call4,all,mit,
1300,0,9500,1485703,
1495,0,28947,1723688,
3316,1,16760,698940,
6079,5,32241,382559,
619,3,11274,864324,
2213,12,23337,603505,
14147,2,67698,1428016,
5904,44,34224,951658,
266,0,7496,1026301,
59,0,4781,1232058,
171,0,24172,704074,
1000,4,26314,1484907,
2050,0,11756,1271990,
2223,8,13278,1719340,
1619,16,22543,1743606,
2068,0,19883,1581892,
1558,13,19922,923238,
5626,26,31858,635443,
2330,11,27128,769112,
1548,0,40242,420723,
5046,5,22250,690167,
8366,3,70016,944584,
2097,6,18562,1172836,
6780,10,33162,1553041,
4262,1,31151,1347193,
2809,2,18784,1796827,
1750,12,20667,1446879,
259,4,17575,1768529,
1028,4,14801,1711791,
1065,2,14936,2104663,
1396,5,21538,1498606,
3702,9,41739,1393220,
1852,0,28753,958315,
5140,13,25067,1656103,
904,3,19865,2194762,
1206,6,13078,2065023,
822,0,11858,2088221,
389,0,31040,2055804,
1567,0,44236,2592354,
1656,2,29847,2095333,
7934,0,56731,2746830,
6557,1,81134,1916109,
2765,1,39461,1884831,
337,0,36806,2333024,
841,6,25612,1940300,
439,0,28031,1856467,
1465,0,40508,1681297,
3761,0,30679,2677780,
1148,0,19219,820179,
266,0,13334,1376176,
2705,0,13758,463674,
846,0,9060,840040,
749,0,9247,517677,
1123,0,12581,536269,
1966,3,37959,412439,
867,0,8320,644157,
390,1,11031,1982969,
1123,0,15229,822572,
1253,0,30501,1536717,
1080,0,7067,1925412,
489,3,13420,1671805,
968,0,20419,2864941,
503,1,18717,1124409,
394,2,13690,2180897,
110,1,6011,1745179,
170,0,10076,1763147,
687,1,12917,2556595,
702,0,32419,1436068,
262,2,13519,1975269,
380,0,8528,1979797,
82,0,21807,2110401,
83,2,13524,1495269,
286,0,14674,1952298,
704,2,33724,2144382,
605,3,11554,2005043,
277,0,24551,1289772,
1670,0,32431,1380774,
48,7,10472,1393715,
2905,2,35119,2938048,
1697,4,31230,2806496,
389,0,18345,2709390,
174,0,16217,2295106,
360,0,14565,2445446,
126,7,10682,2317102,
1695,5,31842,2577140,
1783,2,21730,985641,
3140,2,56765,1248576,
605,1,29939,787935,
745,4,9270,1655202,
842,9,13434,1811697,
1166,3,11347,1400458,
3580,5,127929,1253358,
667,5,23585,1728671,
1682,1,18539,1491037,
2702,3,19816,1195364,
6003,3,100129,2140494,
1292,0,34184,2445599,
346,0,14182,2526917,
150,0,21809,3384139,
89,3,4952,2949966,
251,0,11027,2446636,
361,0,8739,1695607,
50,3,6311,2966492,
360,0,11675,2024055,
238,2,17422,2927409,
103,0,5029,2365827,
77,0,3322,2894371,
614,2,24498,3300481,
151,2,20789,2834833,
1723,0,26454,2570856,
220,0,19795,2820519,
737,0,30652,2701990,
161,0,18633,2711258,
215,0,5226,4323989,
82,0,6825,3384277,
31,3,5931,1944575,
291,1,15726,2330380,
127,4,18305,2293113,
329,0,22951,2336049,
116,0,4672,2734638,
329,6,21548,1880227,
2082,4,16209,2735235,
21,7,3977,1204355,
315,2,15050,597140,
203,9,6992,1121387,
579,2,10627,2059301,
2190,6,41453,3021721,
774,0,20312,2545989,
624,6,13701,1709832,
3307,4,21640,1606102,
731,0,15249,1513998,
2003,3,15825,2907828,
12,0,817,1610051,
406,0,1573,1952000,
309,0,10150,2381458,
484,4,13366,3021673,
1048,1,4501,1809191,
268,0,8501,1494149,
1004,4,21098,1880214,
520,0,3448,1427524,
1578,1,16566,673661,
704,0,10021,1249549,
1187,0,16091,1708617,
1128,0,12838,1887018,
1807,0,18575,2013385,
387,0,8996,2110117,
2417,0,30174,1586696,
167,0,4861,1525848,
449,3,9781,1286421,
2986,2,31152,1498954,
300,1,21384,3464328,
464,0,17112,2617094,
437,0,9802,2934738,
220,2,3480,1815712,
30,6,10917,2441195,
28,0,6807,1536221,
186,0,4587,2156073,
22,2,2686,1313591,
64,7,4744,3255623,
306,12,14724,1709586,
393,2,6834,1734960,
155,5,11344,1556529,
172,14,3653,1590546,
96,0,6713,1570492,
54,1,1806,1270921,
78,4,7212,1430653,
99,2,5274,1565888,
29,0,5773,1883947,
566,1,8284,1440474,
314,0,17241,2386078,
1091,0,13910,1327914,
414,2,13931,512706,
225,0,5741,1285912,
287,16,6170,768869,
878,205,5258,393521,
1184,120,1225,560584,
1780,8,7925,889754,
459,2,11728,1527943,
0,0,328,722477,
8,0,1239,103479,
0,0,471,1,
253,0,3444,173449,
573133,6155,2508696,18815847,
609,0,28196,18005,
2025,0,16025,2576116,
710,11,8343,1425700,
297,0,1596,326823,
1015,0,16963,395366,
76,3,1202,785038,
204,24,2726,1622319,
196,0,2279,1376844,
575,0,8112,1316877,
301,0,2380,2439207,
715,0,10563,1462402,
1061,0,7613,2924670,
999,0,13716,1165337,
1657,0,8394,1940226,
1216,1,17322,2711416,
448,0,8229,3591940,
489,0,10735,2238732,
92,3,6985,2888997,
211,2,1231,2411034,
297,0,16594,1755504,
556,5,8279,2205823,
2242,0,25915,2452404,
2381,0,24503,2545290,
552,130,10015,1376719,
382,13,12040,3739306,
418,0,12008,2070011,
948,78,10576,1246900,
1343,68,8810,4029729,
1558,53,4696,753261,
6568,0,49323,1970208,
385,49,3194,192756,
306,3,3162,371433,
716,21,3891,392483,
1005,59,1958,211623,
222,20,2313,379814,
561,9,5056,379792,
748,197,3128,457224,
1120,0,15837,1889196,
5191,0,112491,1069599,
1843,0,20278,1619893,
439,0,7846,2234997,
648,4,10291,1657578,
147,0,8075,2165126,
86,0,3340,3077491,
54,18,3008,2552719,
178,4,7669,2019349,
278,0,5379,2031905,
747,6,21121,2453104,
738,0,9242,2203327,
2733,19,26702,2470164,
2155,0,16260,1490189,
1190,16,12870,1498655,
2565,2,31635,2011477,
8345,0,53874,1061642,
1748,4,14247,2652713,
262,0,7943,1583331,
562,0,11888,2707540,
245,0,9482,1969165,
150,0,4202,2366874,
248,0,6591,2213580,
827,18,8938,2037592,
78,1,6013,1612940,
195,2,9128,1371659,
84,6,2112,1666142,
359,8,6481,1228828,
2452,0,21756,1502085,
2650,0,24782,1897302,
1117,0,20105,1577196,
6895,8,41970,1501159,
512,1,7518,2676890,
410,0,8462,2247108,
2183,5,23482,1126598,
652,5,5817,631288,
1171,1,7185,1699128,
1082,0,5413,1023633,
2514,0,23379,41991,
369412,0,784384,646681,
230,0,10327,2605222,
71,1,5408,2328559,
357,2,11078,2867581,
803,0,17374,3004623,
336,4,3924,3305494,
31,1,3666,2238723,
117,4,4714,3245836,
651,3,21668,2738506,
160,10,8006,3413021,
77,0,6224,5086996,
47,4,8964,3934547,
117,0,12821,3914692,
527,66,10359,2666094,
53,0,5123,3125514,
74,2,11361,3634278,
51,2,1990,3294276,
29,2,2664,2382089,
77,3,5715,2626407,
165,24,4754,3157493,
234,4,11082,4810621,
445,12,13627,4595587,
138,3,6788,4979715,
420,0,8593,4875184,
423,0,10610,3986416,
72,0,4606,4248347,
71,0,4232,3510201,
377,15,6031,4026851,
17,0,2967,4225191,
189,2,8660,4296850,
112,5,4681,2645488,
68,4,2825,3183442,
281,0,7722,3363089,
205,0,6409,2037320,
892,6,13323,4991974,
191,2,7009,2614881,
12,0,3381,2133349,
105,0,7454,4182409,
167,2,7729,3852088,
219,0,8927,4650712,
57,0,6724,5724257,
619,10,10721,4351697,
11,4,3054,4585997,
117,0,4083,3363247,
87,1,7126,4297543,
76,11,1499,3899163,
45,2,4892,3034271,
5,0,2970,4009427,
30,0,5822,2757214,
101,0,7399,2792495,
131,11,13738,3505740,
276,2,14866,3774589,
34,2,4796,3213143,
93,2,4724,2595096,
58,0,10051,3211575,
125,0,9863,4357637,
104,0,6180,4229399,
68,2,8631,3363844,
258,4,19515,4090201,
28,10,6129,5279250,
49,5,7841,4590100,
65,2,12404,5832691,
36,2,5823,2946926,
82,0,7586,4214512,
22,0,3078,3289247,
232,2,6974,5459921,
40,2,6510,3886486,
64,0,3895,6017115,
151,6,7448,4684786,
164,2,7965,3218161,
99,0,8099,3116968,
44,4,2932,3208726,
64,3,6279,4982225,
115,2,8158,5190159,
122,12,8809,5692505,
202,0,6768,3417100,
230,14,8773,2350899,
403,3,8457,2386031,
46,10,5164,1994431,
108,0,1461,3541246,
748,0,5346,1420245,
193,28,6267,1970484,
281,0,10376,3202396,
