rl,call4,all,mit,
86375,1250,663799,19282358,
90686,1691,953290,22418347,
115324,1547,840153,17809593,
127860,2895,1000086,13704820,
85148,2604,644504,22591294,
108000,3229,941748,16372516,
177860,2016,1118516,21765340,
134091,4380,1086823,18378840,
63326,2408,594030,20425909,
58892,1749,523496,20084112,
61570,1749,767510,19011407,
83811,2969,954932,21399012,
103407,2439,746222,21166778,
103248,2621,766848,24478847,
104459,3179,850308,24838510,
100286,1571,814730,24465063,
97655,2652,820035,19604475,
134795,3281,928606,18496521,
98813,3228,883008,19212188,
89839,2008,935785,12741892,
138361,2751,704656,16365615,
152539,2665,1154564,17454400,
103326,2846,777758,19659098,
139218,2810,990640,21290410,
133330,1592,968752,24575595,
113259,1893,827683,26031719,
91139,2764,798427,22523752,
57941,1881,762595,20821612,
87419,1889,725974,23334949,
85533,1889,782127,24220916,
92386,1858,804595,23749985,
121495,2138,1045259,22731499,
97706,1183,897278,19592872,
128776,2780,899301,24117184,
84816,2438,752424,27454005,
90425,2532,721890,25318451,
82513,1859,715420,24759773,
66999,2095,864938,25015853,
94991,1283,1003582,23678135,
93242,1843,865505,26127272,
140739,1751,1086193,24900900,
132641,1518,1165038,24545575,
109252,1514,957499,22891547,
57115,915,922962,26689356,
79622,1758,799480,25781843,
66222,903,806038,24941849,
91605,905,966154,23980980,
112676,1485,826345,23742230,
86802,1237,716693,18038556,
52828,1237,628355,19376253,
111835,2469,656516,13687664,
76916,2235,545539,17357156,
64775,1933,552858,14285763,
84548,1353,618673,14735029,
102567,3018,850424,13531315,
82235,916,541418,15723368,
66585,1232,582824,21360674,
82672,1453,694566,16458325,
90387,1453,866208,20839949,
80607,897,499390,22595611,
71462,1804,663949,22754971,
83948,1777,739719,24399904,
73844,1792,701144,19038376,
58789,1510,616083,25444335,
39515,1761,494771,22396788,
47569,1482,612284,22763512,
65573,1498,612812,27419045,
80959,1173,903483,22247883,
54156,1781,615583,25773037,
56576,1188,560366,25827686,
37853,904,713141,24292412,
34622,1778,631369,22675807,
57631,591,676748,26583310,
69691,1518,842474,27009022,
57574,2705,605019,27397488,
51266,1564,707065,23509574,
100954,1554,923642,21566161,
33552,2491,569769,20398573,
122561,1558,895359,25884937,
106004,2507,868704,28665571,
60053,2197,703071,25456714,
60795,1894,680258,25759719,
66594,1621,648691,27022218,
54610,2797,586231,28440610,
110562,2503,874797,24842269,
104277,1835,786148,19524666,
116062,2116,1074037,19146722,
85247,1511,811652,17474124,
89655,1912,587544,21057363,
97081,2565,674697,22964563,
107460,1932,595136,18543471,
119652,3095,1193823,20037738,
97200,2356,770413,23184529,
111967,2562,730622,20842629,
124756,2296,721932,18775378,
153422,3339,1092255,27053539,
96100,952,867610,23538263,
79270,1496,637103,26468171,
53269,889,740593,25584250,
55587,1804,463349,27759928,
64767,1509,612894,27361385,
74371,1767,604948,24273770,
59428,1797,558954,26411376,
70383,1507,608854,25843774,
60576,1784,699001,25337424,
44558,1507,534735,25950136,
51671,1501,453918,27314981,
88217,1779,794750,27124874,
60081,1531,733218,28218905,
104004,1235,781306,29149949,
60147,1475,726863,28810386,
89295,1780,843727,25769324,
65332,1174,795697,26691123,
64476,895,513127,26293131,
