X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
mit,call4,0.28187,0.2570246,0.09442,0.27434,5.321928,-0.15762435
all,rl,0.27733,-0.0057053566,0.012979999,0.27129,5.321928,0.5320107
mit,rl,0.24204,0.23590194,0.022019997,0.23447,5.321928,0.07834572
call4,rl,0.22329,0.18634064,0.0555,0.21548,5.321928,-0.19222213
mit,all,0.19065,0.16949587,0.03492,0.18389,5.321928,-0.1454446
all,call4,0.16098,0.1355835,0.010780007,0.15494,5.321928,-0.1593628
