X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
all,rl,0.84365,0.11473572,0.029959977,0.83835,5.321928,0.8537648
call4,rl,0.72717,0.17428297,0.14775002,0.71975,5.321928,0.7435637
all,call4,0.56679,0.11755508,0.06334001,0.56044,5.321928,0.6702499
mit,rl,0.42161,0.3355887,0.09195,0.41353,5.321928,-0.2932939
mit,all,0.32261,0.25306398,0.082129985,0.31514,5.321928,-0.26371577
mit,call4,0.31075,0.21808282,0.026489988,0.30527,5.321928,-0.30441287
