rl,call4,all,mit,
10993,0,71921,5606029,
9192,2,67215,4531645,
7786,1,55322,2502726,
11098,27,83256,1845064,
1795,24,57200,1683684,
15075,107,74224,2819595,
16177,4,108068,3851127,
7708,146,56051,3833517,
1683,4,53445,2852975,
173,0,45027,4173098,
1774,0,148825,2146338,
4983,14,71805,4761839,
5267,0,44667,3516148,
3888,101,59229,3891039,
5254,43,63528,3796653,
6543,7,69334,3228094,
7821,18,56039,2576741,
20743,18,124234,2178617,
9878,25,89977,2357993,
9064,5,100674,2423464,
19347,37,88492,2565611,
27985,23,173234,3735410,
5876,71,74885,3902785,
11377,80,62481,4625060,
12937,8,87250,2636474,
10395,8,72726,3324915,
7375,16,104183,3741359,
3049,7,80300,6299191,
4127,5,53030,4478912,
5450,4,73617,5304096,
5841,12,88536,3681042,
11525,16,88951,3383410,
6758,4,100902,3160258,
13467,32,95302,4028145,
3286,31,89186,4322075,
5652,5,81308,4811962,
3646,11,67039,4893635,
1358,12,141165,4749558,
6676,0,90568,6910149,
6724,12,97186,4228352,
16581,4,132722,6670259,
21241,3,181502,4352771,
7577,3,132487,5150552,
3118,0,122874,5128298,
4269,9,118034,3793680,
3573,0,98647,3932659,
7315,0,134190,3841472,
12314,10,110325,7095280,
3680,3,70954,2847230,
1963,3,69002,4587029,
11915,9,65565,2240830,
7840,7,77739,3070847,
6852,5,72493,2181103,
9755,0,63919,2357860,
7929,32,97877,1974352,
4604,0,53501,2732979,
3570,3,78424,5965449,
5217,1,60118,3591505,
5885,1,87411,4419465,
6857,0,63580,4880854,
3768,3,72155,4166416,
3973,4,86577,6819452,
3024,1,68414,3959543,
4767,4,112399,4649481,
1831,7,36377,4784582,
1664,1,58369,4213212,
7173,2,89902,4593894,
4513,2,100039,3548881,
2726,4,84918,4075316,
4643,1,57423,3995388,
841,0,192027,5365414,
1427,0,90867,4132446,
1740,0,68346,3661810,
6912,6,147640,4063502,
3095,10,53592,3417283,
1338,3,146705,2879859,
6680,3,90351,3953043,
1630,46,57038,4554308,
11244,8,103161,6577439,
9437,3,121515,4809036,
4344,6,148091,6131240,
3478,1,83313,4764909,
2429,0,104462,4695468,
1083,5,70349,3922030,
6432,44,106555,5935867,
8268,18,89826,3165831,
8777,14,127246,4031612,
3096,7,110548,2802213,
3216,13,53166,5047998,
7809,25,73031,4753455,
7234,7,105333,5059299,
13540,12,207382,3789449,
4388,4,119209,4410017,
6561,16,93839,4158786,
14447,20,103736,3996779,
18739,80,216613,3811563,
7200,0,113757,6339106,
6676,6,87637,5191863,
3058,0,107940,7998384,
1866,2,54561,5365791,
1772,1,57533,4620687,
2129,3,44798,4000766,
627,7,33846,6536463,
1913,1,81273,4392094,
1140,11,76055,6831203,
1978,2,28994,4835897,
875,2,26702,5591994,
3794,8,99618,6360449,
5298,3,137087,4978222,
10355,0,89829,3987787,
3121,18,84341,4796464,
5331,2,99513,5790856,
1926,1,84291,5663446,
961,0,32037,9758442,
813,0,42662,6680866,
1204,11,70107,4579580,
1012,5,49171,5599679,
930,3,120603,5428025,
2629,0,97979,5352571,
1298,1,41142,4474051,
2909,32,68378,5020394,
4729,14,53129,6467783,
511,21,36483,3359067,
3484,8,72377,2710217,
1387,15,27668,3793049,
3599,9,61032,6494942,
8552,11,77643,8616407,
4420,5,93198,6336367,
2843,6,55805,3616603,
8793,39,64249,3260545,
2815,21,43128,4987870,
5658,56,59801,6280488,
526,0,7683,4733611,
723,0,7247,4057211,
2238,0,69496,5723762,
5943,2,74450,7065119,
6587,8,38552,4691523,
2878,2,44109,3709687,
5291,8,78032,6059715,
4228,2,36322,4710052,
7310,14,70145,3254924,
3145,0,62659,4705243,
8233,3,96727,5622485,
4112,0,52555,4860671,
5396,0,82655,5305201,
3430,0,50727,6163886,
10768,7,91559,5584826,
947,0,25466,4809293,
3772,24,53045,4399754,
13182,3,91263,5080328,
3790,1,133304,6139845,
2907,12,76897,5407890,
3937,0,67983,6263298,
1123,6,28714,4528216,
1200,15,87017,5531060,
292,4,50884,4604848,
503,0,29832,5704091,
695,2,25728,3707726,
1407,19,49889,7833455,
1567,21,72934,3611913,
475,33,38628,5006481,
717,34,51664,3596655,
504,27,26971,4758082,
344,0,39116,4270813,
718,3,25183,4705132,
1270,2,55217,4262608,
1119,1,46251,4185404,
522,21,43957,3812974,
2768,20,41317,3257543,
2788,0,113326,4666453,
4698,2,63146,3925147,
4395,0,86749,2591398,
2874,16,37935,4965329,
2349,130,34892,1845140,
3321,418,18204,1141914,
3109,118,4965,2077708,
9391,88,45519,2655490,
4651,32,76303,4100779,
88,0,3578,2660092,
146,1,11208,591681,
1273,8,80930,539,
