X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
all,rl,0.34557,0.00895226,0.0476,0.33756,5.321928,0.5801877
mit,rl,0.21066,0.20864515,0.054289997,0.20311,5.321928,-0.04488701
call4,rl,0.18631,0.17886278,0.024660006,0.17947,5.321928,0.08629727
mit,all,0.18628,0.1821058,0.054529995,0.17906,5.321928,-0.06460804
mit,call4,0.16632,0.16626953,0.025069997,0.1591,5.321928,-0.0071040625
all,call4,0.15638,0.15630017,0.01636,0.14937,5.321928,-0.008934534
