X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
all,rl,0.46185,-0.08014822,0.032820016,0.45448,5.321928,0.7362053
mit,all,0.26284,0.15116036,0.02363,0.25504,5.321928,-0.33418503
mit,rl,0.24974,0.15340701,0.044150002,0.24298,5.321928,-0.31037557
all,call4,0.16634,0.16510038,0.13302,0.15929,5.321928,-0.035208095
call4,rl,0.1462,0.1461793,0.11516,0.14074,5.321928,-0.004550108
mit,call4,0.1419,0.13450716,0.108150005,0.13622,5.321928,0.08598158
