X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
all,rl,0.57055,-0.33872926,0.055180013,0.56466,5.321928,0.95356137
mit,rl,0.30284,0.19649339,0.049050003,0.29582,5.321928,0.32610828
mit,all,0.23392,0.08772884,0.019270003,0.22654,5.321928,0.38234952
all,call4,0.18913,-0.55416936,0.06476999,0.18171,5.321928,0.8621481
mit,call4,0.18104,-0.041507006,0.0885,0.17433,5.321928,0.4717489
call4,rl,0.15898,-0.34735316,0.03706,0.15386,5.321928,0.7115709
