mit,all,call4,rl,mit_mimic
93206,1914,0,245,93206
65554,1144,0,222,65554
124871,2275,0,718,124871
146032,949,0,268,146032
161933,968,0,258,161933
127162,1509,0,468,127162
80473,831,0,303,80473
118952,1200,0,453,118952
98021,758,0,368,98021
4532,1091,0,368,4532
65121,11154,0,6990,65121
261787,639,0,99,261787
209229,513,0,256,209229
310537,967,0,124,310537
241296,957,0,293,241296
212132,531,0,155,212132
157676,139,0,4,157676
217444,182,0,1,217444
231299,948,1,37,231299
370366,276,1,4,370366
451685,208,1,0,451685
338207,346,1,3,338207
322020,435,0,10,322020
321732,647,6,13,0
331690,244,0,1,331690
308451,764,6,9,308451
345772,360,5,20,345772
315703,381,6,8,315703
246503,563,6,10,246503
297424,406,6,10,297424
410003,681,1,20,410003
444738,649,0,12,444738
378605,619,9,27,378605
367557,469,9,56,367557
401905,672,9,63,401905
567247,340,5,59,567247
426704,257,9,54,426704
405231,442,9,78,405231
488668,257,5,39,488668
466325,306,0,67,466325
376137,227,0,17,376137
410736,122,0,19,410736
247788,321,0,42,247788
214970,280,0,44,214970
524124,494,0,100,524124
415128,343,0,36,415128
282801,210,0,25,282801
431655,200,0,24,431655
388146,261,0,32,388146
495873,246,0,41,495873
572257,185,0,9,572257
523972,258,0,19,523972
588259,207,0,6,588259
398247,154,0,10,398247
574843,213,0,10,574843
485838,165,0,9,485838
419124,227,0,11,419124
582812,164,0,5,582812
330979,351,0,11,330979
367143,323,0,10,367143
592997,374,0,10,592997
610512,477,0,18,610512
492736,218,0,19,492736
341071,237,0,11,341071
282047,306,0,16,282047
336838,313,0,18,336838
372635,201,0,17,372635
456695,314,0,9,456695
499869,299,0,9,499869
546497,67,0,2,546497
605701,213,0,1,605701
624106,178,0,3,624106
473983,99,0,3,473983
532378,183,0,3,532378
466905,106,0,2,466905
618223,228,0,2,618223
424446,147,0,0,424446
566749,89,0,3,566749
533728,245,0,2,533728
506401,249,0,3,506401
409908,242,0,5,409908
364108,134,0,2,364108
672446,152,0,6,672446
653801,205,0,10,653801
541289,245,0,32,541289
309507,290,0,56,309507
379081,437,0,144,379081
241810,610,0,111,241810
153726,469,0,128,153726
258815,353,0,91,258815
85540,848,0,237,85540
204905,863,1,192,204905
429201,728,1,154,429201
225501,456,1,82,225501
208379,699,1,162,208379
272649,975,1,199,272649
316750,593,1,102,316750
183257,511,1,42,183257
316358,1124,1,223,316358
259890,337,1,32,259890
183068,748,1,69,183068
518375,695,0,90,518375
462896,1022,0,36,462896
813166,659,0,73,813166
330385,411,0,30,330385
454200,285,0,54,454200
429938,387,0,43,429938
567476,183,0,15,567476
588907,340,0,41,588907
543495,303,0,38,543495
450302,465,0,54,450302
583164,518,1,28,583164
418282,496,1,26,418282
306806,329,1,27,306806
568938,498,1,17,568938
429648,292,1,18,429648
555238,237,0,25,555238
409053,182,0,6,409053
477180,348,0,16,477180
492960,405,0,19,492960
386492,271,0,10,386492
543467,108,0,6,543467
431467,200,0,7,431467
475215,160,0,0,475215
720313,336,0,1,720313
577486,786,1,7,577486
358812,245,1,3,358812
493550,578,1,8,493550
599904,461,1,3,599904
537047,582,1,37,537047
742121,602,0,22,742121
579625,503,0,36,579625
332464,246,0,16,332464
472294,557,0,28,472294
228501,576,0,50,228501
418897,267,0,34,418897
452077,546,0,33,452077
549442,555,0,30,549442
459633,709,0,34,459633
361253,882,0,27,361253
403815,474,0,18,403815
368754,987,0,43,368754
529515,393,0,26,529515
391924,353,0,32,391924
408718,233,0,23,408718
277410,1165,0,33,277410
429464,785,0,32,429464
269141,754,0,57,269141
185729,561,0,52,185729
261027,993,0,63,261027
187008,932,0,45,187008
180077,1150,0,46,180077
159106,702,0,64,159106
372913,1358,0,78,372913
570546,1519,0,79,570546
368158,333,0,17,368158
495130,237,0,17,495130
468022,780,0,54,468022
459251,1587,1,66,459251
472396,1104,1,42,472396
204096,756,1,27,204096
328626,1239,1,42,328626
448268,1469,2,52,448268
386782,890,0,20,386782
344408,767,1,57,344408
405177,453,1,53,405177
429859,491,1,37,429859
361454,874,1,42,361454
497826,531,0,28,497826
504146,793,0,50,504146
431054,316,0,14,431054
410372,604,5,48,410372
398296,514,10,29,398296
275248,553,9,33,275248
354842,237,9,44,354842
336400,960,6,40,336400
238652,802,10,41,238652
398359,593,10,52,398359
245408,1069,1,75,245408
191419,1917,0,157,191419
205570,1002,0,80,205570
191954,2535,0,136,191954
66021,2782,0,536,66021
125409,422,0,38,125409
42694,1303,0,136,42694
103245,1183,0,85,103245
280116,1024,0,40,280116
123328,346,0,12,123328
241395,809,0,10,241395
372625,549,0,25,372625
288572,1335,0,114,288572
256736,1808,0,43,256736
159180,658,0,12,159180
305281,1031,0,90,305281
113365,947,0,109,113365
280582,1307,1,81,280582
300698,1286,0,156,300698
242155,987,1,108,242155
223556,1282,1,49,223556
206532,1449,1,125,206532
263752,1067,1,188,263752
211768,1065,0,171,211768
215323,750,0,46,215323
193263,1447,0,66,193263
297080,645,0,101,297080
323347,1912,0,103,323347
145159,2060,0,141,145159
58738,3499,0,607,58738
30682,967,0,356,30682
20492,960,0,348,20492
69359,3844,0,960,69359
67177,5943,0,3256,67177
34107,5234,0,1755,34107
78941,5706,0,3192,78941
51650,3999,0,2794,51650
65319,3852,0,2526,65319
42400,5717,0,2543,42400
44802,3925,1,2001,44802
21244,4423,1,2655,21244
33964,4865,1,2622,33964
61586,4013,1,2215,61586
21469,5466,3,2835,21469
27545,6239,2,3325,27545
19759,4844,4,2729,19759
8944,5280,6,3074,8944
11823,4869,3,2286,11823
20555,4543,4,2452,20555
3994,5210,6,2784,3994
2770,4094,1,2220,2770
2610,4333,2,2172,2610
80,617,0,142,80
