rl,call4,all,mit,
80827,0,667005,19115050,
43366,0,458722,18324569,
39549,0,450435,8602654,
114185,102,912998,5715119,
7275,113,396312,5063358,
132658,291,578402,9225825,
172999,0,1385875,14520452,
39788,2333,422882,11723004,
4961,18,394467,9690645,
140,0,334294,13674786,
7709,0,1737234,7599273,
35418,283,552815,15906108,
25828,16,280173,13157078,
13764,44,452953,13652335,
21622,267,420444,14867078,
37934,0,533571,12984316,
44143,36,378368,9735444,
173345,120,1296849,8170194,
50135,253,888816,8624495,
43357,0,728449,8151519,
154900,72,685168,8770409,
269571,63,1686179,14613452,
25079,359,577864,14098538,
83496,254,430261,16844095,
124160,8,895016,9414058,
68005,11,566540,13191860,
45061,318,941680,14004965,
14174,8,582993,21370027,
24256,7,360014,16471082,
24521,9,546062,19222632,
27379,14,696794,13018947,
107502,61,670736,12615574,
37989,32,874091,11010512,
93942,327,834754,14997233,
11053,352,720607,15490586,
31904,230,784535,18024366,
13766,126,417924,18244751,
2496,226,1178493,17398276,
62772,0,599822,24453684,
37421,77,630633,15839211,
119122,267,908036,24738542,
198796,34,1926795,17306314,
41825,42,1178735,17376786,
13694,0,995558,17802305,
25393,132,1040739,14664318,
19484,0,771742,15101582,
44458,0,1103848,15352195,
76336,12,894518,27153216,
12667,0,516448,9441504,
9631,0,656651,18610535,
131999,283,504003,7966005,
58655,70,677660,11153553,
45615,31,734752,8072108,
139984,0,561319,7738215,
71477,672,846769,7673485,
30997,0,664246,10173366,
34351,0,731188,22036527,
41723,36,531339,14240006,
59010,50,710513,17053295,
78968,0,865266,18216143,
18226,10,715174,15531754,
40403,80,1013271,24942006,
28539,42,566273,14856278,
39712,0,1134146,16736508,
7622,86,317686,18047085,
11556,23,471778,16590062,
62249,20,1068478,19039162,
69220,23,980465,12929652,
22717,42,862971,15172981,
47424,0,549731,14343292,
8800,0,2033528,19046111,
10108,15,1137107,14661603,
15331,0,577631,14202947,
75789,6,1769879,14852798,
38138,612,548206,13533057,
10472,23,1473296,11117620,
58584,12,831283,14131047,
13097,116,372693,16235495,
128869,0,986260,23978922,
141525,65,1391618,18766833,
29583,22,1897080,22673778,
31957,0,678371,16749455,
15955,0,1029692,17390172,
6039,157,589977,15585126,
65507,167,988850,21803155,
107918,114,920214,11526969,
93247,271,1394359,15086583,
22256,27,1023230,9643515,
19713,0,562551,19189985,
75441,24,680134,18241938,
100535,0,1251921,18593905,
188987,552,2538662,14286621,
35692,0,1248052,17966203,
60262,169,1096279,15109157,
190814,44,1067844,14909810,
238919,1152,2568222,14601896,
60968,0,856361,23362548,
94849,50,953599,18672993,
34184,0,1178114,27420360,
14660,0,574655,20274266,
19203,0,482229,17070140,
27604,44,429827,14119462,
10946,0,326836,24403331,
35892,0,1014369,15465834,
12815,47,794764,24560555,
12546,13,331670,17720388,
11892,15,246555,21519810,
60282,57,1120952,23719217,
66082,0,2135869,19585119,
119589,0,854779,15028690,
20801,130,881717,18498118,
76518,104,1340361,22473475,
21463,0,977864,19873803,
8884,0,307637,35152297,
7343,0,433917,24429110,
5711,5,822187,16738206,
8394,0,462485,22018205,
3150,0,1607901,18785088,
38208,0,1266116,18445024,
9219,0,450072,16122385,
34484,892,633268,18529864,
63203,28,487944,23717134,
1991,71,314465,11730962,
28830,0,655594,9451044,
6171,74,177097,13851099,
26121,42,742913,24889540,
103395,60,868451,31704684,
38978,9,1235240,23729754,
21862,9,865271,13871649,
70740,469,879724,12707683,
20724,280,374048,18288999,
54503,177,813518,22919681,
1524,0,44807,17879619,
1755,0,32922,15388154,
22315,0,807742,19299251,
69146,0,985766,27036376,
74255,29,377192,17185136,
29064,82,650361,14362737,
45349,14,1131208,21735533,
23029,0,349427,16682489,
71456,237,821706,12243216,
35765,0,737571,16257616,
89105,0,1221146,20672956,
39062,0,593316,16537669,
65239,0,1026154,19786412,
26649,0,493125,22535673,
190794,857,1374392,21118754,
4900,0,197855,17749075,
41781,92,794293,16668618,
210538,685,1387992,19695838,
30460,0,2016650,24469306,
25967,131,925972,18485737,
59917,0,993158,21893742,
3847,19,320888,17349348,
16812,82,1132119,18884896,
3577,37,655023,16101340,
4686,0,348652,19709973,
2475,0,299298,12560626,
11824,200,828334,25924040,
18530,145,933637,12088719,
4698,65,568668,18737217,
4090,264,731741,11877593,
7052,102,386306,17729500,
4379,0,457398,14675357,
2654,17,285328,16018100,
10233,4,693874,14973982,
13608,0,511062,13849472,
4673,78,550688,12310393,
46583,35,618593,10827378,
26415,0,1495776,18348699,
43689,9,776413,15213936,
47934,77,1077907,9224558,
36196,71,464949,19752232,
21515,50,368725,5393378,
9168,2091,95603,3470772,
16627,900,21398,6940034,
96990,134,586763,9256129,
52210,286,1123536,14572438,
953,0,17578,9382448,
428,0,78453,1799315,
687,470,1271419,3614,
27805,0,455997,3231749,
25114144,6845508,42410806,90472523,
522674,0,5447042,757744,
107854,444,732425,24554486,
23968,674,207405,16841768,
43948,0,229429,7085866,
74416,0,1527373,7902563,
1533,15,65387,12402483,
8286,1581,275678,19330502,
22660,32,369205,17927161,
41776,0,483868,15678755,
17697,0,274414,31185089,
27097,10,658116,20025029,
44923,124,166105,26723629,
42121,0,637724,15865668,
138805,123,1067526,23161413,
45153,107,981375,24335929,
14020,478,446242,30062092,
45524,115,753309,16540623,
700,1061,593476,21188187,
9723,0,186070,19576065,
15376,0,748521,12899556,
9888,97,398472,18908290,
94740,0,892028,21860644,
157760,11,1163317,20956038,
15598,254,313778,13880841,
10913,5926,1063034,30097582,
25047,0,1343441,16364324,
18568,1319,517618,10565416,
94726,4209,519333,28269371,
42155,219,257041,7542646,
71496,82,874666,19504144,
6572,97,82604,2717151,
2512,12,26185,6771165,
9683,26,57888,4180306,
5122,1759,8368,2418333,
7355,13,40410,5189577,
27259,126,149702,4372128,
15446,5379,104266,4144072,
71644,0,1125041,19190223,
781280,0,8378307,13674718,
285896,0,1654911,19560023,
31258,17,590377,17093621,
26396,2466,711883,12832200,
9923,10,1115920,17396182,
11433,0,472985,24635722,
6926,65,169305,18005023,
6936,43,887368,19062395,
33628,222,341682,16931321,
63419,73,882472,16584835,
60759,8,685554,15302833,
61883,2701,693900,23620271,
51804,11,471599,18365587,
117959,460,1086015,18545475,
177717,69,941527,21162212,
315356,23,1833876,12229705,
70355,3135,390857,26964869,
18442,0,750048,15845148,
39026,4,412822,20215923,
16571,0,587364,14679744,
12004,0,665945,21448030,
16422,35,218242,19334674,
19845,258,582736,19619533,
15851,0,442510,12999780,
39808,33,736483,11252932,
6827,71,169792,12353254,
36695,1387,885643,8315772,
76812,125,502338,13498522,
105514,30,853508,22987559,
60381,0,2252605,20374874,
198774,13,1293184,16107486,
17131,0,839496,28177136,
19481,13,686162,21370371,
92695,0,1280344,11263643,
14351,2760,276543,5496466,
129100,0,434125,16205014,
20451,46,564235,8496560,
289496,0,2109459,1128285,
33176905,697,44326713,8604219,
43477,118,1021517,17512530,
13793,38,580235,17525547,
15625,77,1339434,17660726,
85859,0,1699628,22023714,
15086,14,348245,25790787,
25282,0,1527743,21543493,
10714,102,615192,26643859,
62146,0,1041586,22010640,
63557,1967,1136998,20337026,
16739,33,747177,29497388,
39963,34,1115797,24646787,
29799,0,1195403,26095521,
41678,789,688033,16610528,
7067,76,740112,19794434,
24821,7,694675,23842053,
2216,1624,270867,21337435,
4074,7,417712,16771005,
5480,0,363492,21983925,
21274,8027,570235,23151672,
10798,40,641089,32399610,
41540,513,884701,24653535,
13325,1138,590949,32709659,
71042,6,779233,29153659,
82969,5,432800,24477045,
9565,192,338203,21589790,
5924,0,640207,21723935,
18444,324,409973,26495758,
131,22,311899,23155920,
21210,582,1194122,27605801,
12614,302,659950,15729232,
10280,150,391025,18040230,
16950,93,618362,28852212,
14844,0,711542,16110812,
77618,4707,1170331,27170912,
22599,257,831939,15855979,
10223,10,411098,16305346,
23705,24,583240,23865062,
45105,54,934398,21565513,
64185,30,1009674,24638371,
17577,0,940318,29449862,
142380,2114,2101163,23003430,
574,456,486039,19314877,
18672,219,623674,21201882,
31064,952,1006647,20049022,
9900,319,346391,20237593,
5106,0,532360,17041804,
578,0,676799,18345086,
6168,52,499227,18299772,
28110,0,431918,18335943,
17313,586,1618928,13521325,
50690,380,1396972,16608614,
15736,0,687444,17828340,
32654,7,670400,21218450,
25658,7,687739,24687216,
69050,7,1397883,31452169,
23888,71,534302,27871328,
21078,1420,521048,22387981,
86287,213,1333703,22702285,
9915,112,1014680,30135923,
10338,6752,922117,23584193,
15812,0,1585330,28716725,
38068,69,694161,15406411,
22882,37,847024,22196041,
10339,0,714844,15572741,
88934,390,1002919,25153544,
24324,84,1200663,27997049,
22507,0,929121,32802734,
18476,36,675950,27391053,
38822,307,1164290,17726562,
10584,10,782472,19294785,
44109,4923,783438,19123367,
12625,149,1018293,25162494,
18431,11,1076068,24006607,
14741,726,700385,27902868,
25544,10,1012744,25348063,
34621,308,1075407,16110593,
60127,8,799625,19406268,
15854,36,1104929,19908177,
37942,18,409886,23057012,
74676,68,659995,17143875,
18812,4584,1027689,16198726,
34862,0,768633,18178494,
46758,0,941037,17499113,
113022,230,850347,21930480,
77280,541,1015431,23788569,
16714,0,239804,25601880,
16683,97,976140,18790833,
179172,1853,1542571,23994671,
17174,216,761507,24989465,
21309,51,588306,14041399,
9571,0,412432,31675249,
66585,39,2225568,30294803,
53843,742,621118,22354535,
49990,38,874313,25307109,
48661,0,929455,23525061,
15558,160,514783,23884324,
14311,10,505413,34283352,
23143,166,934162,17621888,
17667,74,533455,20427296,
38756,6080,977267,16579993,
33212,304,1318600,12155998,
43754,195,964770,15684656,
39371,41,415337,14270568,
