X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
all,rl,0.82697,0.12205231,0.04347998,0.82115,5.321928,0.83959377
all,call4,0.45972,0.19577608,0.058719993,0.45302,5.321928,0.5137547
call4,rl,0.45673,0.14042881,0.048940003,0.44644,5.321928,0.5624066
mit,rl,0.23254,0.1941597,0.086679995,0.22518,5.321928,0.1959089
mit,all,0.19126,0.18053876,0.014979988,0.18372,5.321928,0.103543386
mit,call4,0.15771,0.15342984,0.020560011,0.15237,5.321928,0.06542302
