rl,call4,all,mit,
21,3,47,166,
19,6,43,166,
15,5,39,187,
19,7,49,162,
18,6,42,164,
23,10,52,156,
21,9,55,152,
20,9,52,151,
23,7,39,142,
15,7,54,156,
22,6,49,152,
16,5,31,166,
18,9,42,159,
15,3,39,159,
23,9,57,145,
21,8,48,142,
13,5,37,157,
12,7,43,153,
10,5,38,169,
21,6,38,167,
33,11,71,159,
15,5,52,148,
32,6,59,168,
18,11,55,166,
24,8,49,153,
15,6,42,171,
14,7,39,166,
13,6,51,139,
14,8,44,140,
21,5,48,139,
14,8,41,158,
21,7,44,143,
16,5,48,153,
28,9,57,157,
27,7,53,157,
24,5,53,156,
25,7,58,151,
16,9,50,146,
18,6,45,154,
14,4,39,159,
22,8,50,164,
23,6,58,172,
28,8,56,152,
21,6,45,125,
30,5,58,150,
23,5,48,133,
23,6,58,140,
21,3,43,141,
28,9,60,153,
30,8,55,156,
18,5,38,151,
13,6,36,169,
23,6,41,174,
25,7,62,155,
21,9,53,139,
22,7,54,140,
31,8,61,151,
34,11,60,146,
21,4,58,154,
20,7,45,150,
20,8,41,140,
19,6,47,147,
16,5,52,157,
20,7,40,155,
18,8,39,156,
13,11,46,167,
27,11,52,153,
18,8,41,156,
14,8,44,158,
17,9,38,150,
25,7,42,142,
21,7,50,143,
19,8,49,150,
32,8,61,142,
33,5,58,136,
23,5,51,152,
31,5,67,130,
43,7,66,114,
22,6,47,126,
27,5,54,108,
32,5,52,124,
23,5,54,145,
12,5,41,133,
19,5,46,143,
19,6,39,141,
31,9,59,138,
23,7,57,138,
21,6,48,139,
23,10,48,147,
24,7,48,118,
27,12,52,133,
19,7,47,143,
19,7,46,138,
15,8,45,148,
30,7,52,140,
25,10,44,146,
21,6,46,142,
14,5,46,147,
19,5,48,142,
24,8,46,151,
23,6,54,144,
26,6,48,136,
31,5,61,116,
25,4,39,107,
29,6,43,100,
25,6,46,121,
39,7,54,127,
26,5,47,115,
30,7,47,132,
27,9,41,112,
24,7,47,129,
31,4,51,114,
23,8,43,122,
29,7,49,93,
27,7,45,114,
20,6,44,122,
28,10,51,93,
38,5,61,104,
23,9,44,85,
35,11,58,77,
23,6,41,73,
30,7,46,94,
45,11,85,74,
33,7,61,57,
57,9,107,68,
101,2,136,29,
