mit, all, rl, call4
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 2377, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 14681, 5772
0, 3164, 12178, 0
0, 2902, 13976, 4877
10118, 3409, 0, 0
10498, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
10147, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
9590, 0, 0, 0
9611, 0, 0, 0
0, 0, 0, 0
9723, 0, 0, 0
11434, 1939, 0, 4776
0, 0, 0, 4153
0, 0, 0, 5473
0, 0, 0, 4671
10291, 0, 0, 5322
10313, 0, 0, 0
10041, 0, 0, 0
0, 322, 0, 0
0, 0, 0, 0
0, 0, 14588, 5597
9967, 0, 0, 5445
11797, 0, 0, 4327
10805, 0, 13341, 5970
0, 0, 0, 0
0, 0, 15528, 5178
0, 0, 14250, 0
0, 105, 0, 5804
9595, 0, 11572, 5821
10493, 0, 0, 0
9066, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 4474
0, 0, 0, 0
10452, 0, 0, 0
0, 0, 0, 0
0, 900, 0, 0
0, 0, 0, 4987
0, 426, 0, 3916
8907, 3304, 14113, 5923
0, 0, 0, 5407
10223, 0, 0, 0
10549, 0, 0, 5764
10798, 980, 0, 0
0, 2106, 0, 0
9315, 0, 0, 0
10137, 0, 0, 0
10121, 4392, 13941, 5526
9492, 3951, 15187, 4532
10417, 0, 0, 0
0, 1840, 11231, 0
9894, 2461, 14359, 4701
9724, 567, 11909, 6168
10044, 0, 0, 0
9958, 0, 12966, 0
0, 2453, 0, 0
10129, 2703, 13856, 0
10396, 1905, 12091, 4947
0, 2677, 15049, 0
10234, 0, 13116, 4420
10736, 3696, 13316, 5557
10896, 1933, 0, 3796
0, 2434, 0, 6422
10653, 4037, 0, 5213
9597, 3663, 0, 0
9444, 5787, 14430, 5777
9916, 4150, 14165, 5585
9315, 3009, 12501, 6068
9152, 2512, 14288, 4564
10131, 4659, 0, 5666
9831, 3519, 14551, 5745
0, 4015, 12923, 5254
9829, 2376, 13470, 5141
9909, 2574, 0, 5513
10532, 3176, 13988, 5240
9492, 2609, 0, 4747
0, 2480, 14803, 5387
0, 2365, 13310, 6397
10319, 5302, 13792, 5450
0, 2590, 13692, 4368
0, 5426, 0, 5068
10731, 5003, 13437, 5125
0, 3123, 13433, 4947
0, 3556, 13135, 0
0, 0, 12699, 5176
0, 0, 10321, 0
0, 0, 13726, 0
0, 0, 13691, 0
0, 0, 12891, 5941
0, 4100, 14172, 0
0, 0, 13457, 5601
0, 4919, 13722, 0
0, 1221, 0, 0
10165, 2587, 13439, 0
0, 2153, 14581, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 14054, 0
0, 3240, 0, 5871
0, 1897, 14483, 0
0, 0, 14542, 0
0, 1180, 14562, 4964
0, 2005, 14861, 5075
9419, 702, 13758, 5583
9979, 2286, 0, 4622
7551, 0, 0, 6096
9896, 1961, 0, 4985
0, 0, 0, 0
9769, 2704, 13135, 5170
9939, 869, 12438, 4917
9081, 5305, 0, 6379
0, 0, 0, 5312
8522, 0, 0, 6154
0, 0, 0, 0
0, 0, 0, 0
10171, 0, 0, 0
10345, 0, 0, 0
10046, 3112, 0, 6062
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
10474, 3113, 0, 4634
9409, 2318, 12816, 4927
11009, 1459, 0, 0
9388, 1307, 11532, 5745
0, 1535, 14307, 5050
10686, 3672, 0, 0
0, 4055, 13343, 5531
0, 0, 13611, 0
10532, 1250, 13741, 0
0, 0, 0, 0
0, 0, 13286, 4698
0, 4331, 14671, 4830
0, 0, 0, 0
10413, 0, 0, 0
0, 0, 0, 0
0, 0, 12683, 0
0, 0, 0, 0
0, 0, 0, 0
9797, 0, 14443, 0
9663, 1498, 0, 0
