X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
 call4, all,0.33327,0.15181075,0.062210023,0.31997,4.321928,0.42598036
 rl, all,0.26272,0.0950516,0.029540002,0.25266,4.321928,0.4094733
 call4, rl,0.25585,0.11177832,0.02654998,0.23355,4.321928,0.37956774
 all,mit,0.21289,0.13382685,0.020280004,0.19523,4.321928,0.2811817
 call4,mit,0.19164,0.14046721,0.02666001,0.17462,4.321928,0.22621405
 rl,mit,0.12007,0.11881501,0.012820005,0.10805,4.321928,0.035425883
