X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
 rl, all,0.338,0.24334668,0.08496001,0.30547,4.321928,0.3076578
 call4, all,0.31605,0.1685342,0.070199996,0.30302,4.321928,0.38407785
 call4, rl,0.28187,0.17013748,0.010140002,0.26421,4.321928,0.33426416
 all,mit,0.20663,0.13173243,0.028720006,0.18731,4.321928,0.27367422
 call4,mit,0.19916,0.16934423,0.023930006,0.18355,4.321928,0.17267242
 rl,mit,0.14968,0.14931877,0.016310006,0.13502,4.321928,0.019006314
