mit, all, rl, call4
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 3605, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 4216, 1222
0, 3458, 10137, 0
0, 3300, 2287, 702
2648, 3231, 0, 0
2034, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
4322, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
1931, 0, 0, 0
1425, 0, 0, 0
0, 0, 0, 0
1575, 0, 0, 0
2828, 4386, 0, 774
0, 0, 0, 359
0, 0, 0, 785
0, 0, 0, 546
3121, 0, 0, 484
3445, 0, 0, 0
3842, 0, 0, 0
0, 5754, 0, 0
0, 0, 0, 0
0, 0, 3172, 1260
4090, 0, 0, 746
3856, 0, 0, 476
3980, 0, 3140, 984
0, 0, 0, 0
0, 0, 1284, 516
0, 0, 2137, 0
0, 6398, 0, 1987
6008, 0, 777, 2098
2286, 0, 0, 0
856, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 471
0, 0, 0, 0
2397, 0, 0, 0
0, 0, 0, 0
0, 5041, 0, 0
0, 0, 0, 550
0, 5307, 0, 334
1756, 3713, 5272, 2080
0, 0, 0, 792
4594, 0, 0, 0
3160, 0, 0, 633
2238, 4649, 0, 0
0, 3959, 0, 0
1469, 0, 0, 0
2019, 0, 0, 0
2644, 2664, 2883, 1018
5441, 2897, 4190, 445
1506, 0, 0, 0
0, 2994, 10476, 0
3883, 3220, 3998, 493
5969, 3769, 9643, 1787
3065, 0, 0, 0
2141, 0, 5196, 0
0, 3048, 0, 0
2601, 2910, 4748, 0
2595, 2666, 8247, 881
0, 2336, 3075, 0
873, 0, 7923, 421
1638, 1873, 4989, 720
2567, 2723, 0, 287
0, 2437, 0, 2982
2327, 2020, 0, 1161
1613, 1808, 0, 0
2217, 1365, 4700, 1284
2002, 1461, 2414, 969
6740, 1483, 5956, 2030
919, 2043, 5542, 188
3079, 1523, 0, 1609
2271, 2036, 3552, 1168
0, 1517, 8313, 542
2038, 2015, 5980, 728
5255, 2001, 0, 607
4268, 2235, 3282, 824
4682, 1684, 0, 445
0, 1813, 4410, 1126
0, 1943, 6118, 1670
2204, 1480, 5267, 780
0, 2384, 6758, 425
0, 2156, 0, 664
2489, 1235, 3387, 1072
0, 2545, 4047, 510
0, 2568, 3977, 0
0, 0, 3612, 697
0, 0, 12077, 0
0, 0, 5186, 0
0, 0, 6148, 0
0, 0, 4384, 1946
0, 2480, 5737, 0
0, 0, 6435, 1373
0, 2341, 7187, 0
0, 3716, 0, 0
5177, 3071, 3005, 0
0, 3422, 3647, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 4298, 0
0, 3611, 0, 1721
0, 4064, 5191, 0
0, 0, 5429, 0
0, 4331, 4370, 1203
0, 3919, 2525, 1039
2120, 4180, 4398, 2137
2893, 3509, 0, 521
7390, 0, 0, 1627
5216, 3683, 0, 629
0, 0, 0, 0
4583, 3348, 3689, 768
3515, 3778, 8986, 868
3662, 2402, 0, 1814
0, 0, 0, 675
948, 0, 0, 2114
0, 0, 0, 0
0, 0, 0, 0
2466, 0, 0, 0
1568, 0, 0, 0
1301, 3269, 0, 1032
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
3055, 2358, 0, 322
2023, 3515, 4130, 1007
2821, 3479, 0, 0
2197, 3562, 8587, 1182
0, 3906, 4848, 338
2157, 3230, 0, 0
0, 2766, 3016, 858
0, 0, 2861, 0
2586, 4519, 1815, 0
0, 0, 0, 0
0, 0, 2239, 350
0, 3137, 3859, 542
0, 0, 0, 0
3596, 0, 0, 0
0, 0, 0, 0
0, 0, 1710, 0
0, 0, 0, 0
0, 0, 0, 0
1492, 0, 3474, 0
1894, 5174, 0, 0
