X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
 call4, all,0.35003,0.23563713,0.08427,0.32715,4.321928,0.33822015
 call4, rl,0.30717,0.2047205,0.037020013,0.28145,4.321928,0.32007733
 rl, all,0.27347,0.17952114,0.017579995,0.26212,4.321928,0.3065108
 call4,mit,0.22735,0.19384369,0.021299995,0.21374,4.321928,0.18304726
 all,mit,0.22605,0.18569064,0.020779997,0.21061,4.321928,0.20089641
 rl,mit,0.18872,0.1887196,0.042260006,0.17241,4.321928,6.304695E-4
