mit, all, rl, call4
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 19631, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 30532, 6540
0, 28684, 25407, 0
0, 25190, 30583, 5864
18773, 27118, 0, 0
18400, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
18082, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
18134, 0, 0, 0
18061, 0, 0, 0
0, 0, 0, 0
17821, 0, 0, 0
18798, 15458, 0, 6151
0, 0, 0, 5254
0, 0, 0, 6121
0, 0, 0, 5800
18660, 0, 0, 5308
18671, 0, 0, 0
18571, 0, 0, 0
0, 4547, 0, 0
0, 0, 0, 0
0, 0, 31358, 6474
18025, 0, 0, 6012
18184, 0, 0, 5363
18481, 0, 31011, 6293
0, 0, 0, 0
0, 0, 29506, 5808
0, 0, 30092, 0
0, 2012, 0, 6723
17410, 0, 24818, 7041
18501, 0, 0, 0
16371, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 5363
0, 0, 0, 0
17957, 0, 0, 0
0, 0, 0, 0
0, 10361, 0, 0
0, 0, 0, 6032
0, 6433, 0, 5208
17833, 30704, 30276, 6885
0, 0, 0, 6504
18192, 0, 0, 0
18801, 0, 0, 6085
18230, 10696, 0, 0
0, 18785, 0, 0
18342, 0, 0, 0
18352, 0, 0, 0
18363, 40260, 30665, 6533
17766, 38070, 31148, 5807
17325, 0, 0, 0
0, 22760, 23610, 0
18473, 21379, 30968, 5382
17115, 7214, 27280, 6875
18505, 0, 0, 0
18161, 0, 29363, 0
0, 25512, 0, 0
18475, 26918, 30282, 0
18212, 21684, 27244, 6511
0, 29675, 31178, 0
16511, 0, 26828, 5758
18337, 37999, 30663, 6224
18618, 20918, 0, 4752
0, 24716, 0, 6897
18323, 35079, 0, 5946
17777, 35030, 0, 0
18323, 53846, 31059, 6823
18187, 46396, 30990, 6204
16297, 38260, 29510, 6974
16034, 26336, 29564, 4648
18407, 41171, 0, 6569
18160, 33402, 30949, 6664
0, 40537, 25909, 6423
18273, 27809, 29895, 5925
17956, 25943, 0, 5868
18007, 25630, 31101, 6038
18078, 28241, 0, 5942
0, 28504, 30756, 6634
0, 26593, 30342, 6926
18947, 45779, 30324, 6197
0, 24479, 26537, 5124
0, 42316, 0, 5798
18293, 52047, 30694, 6367
0, 25464, 30746, 6045
0, 29522, 30515, 0
0, 0, 30452, 5992
0, 0, 22436, 0
0, 0, 30574, 0
0, 0, 30078, 0
0, 0, 29961, 7017
0, 39995, 28907, 0
0, 0, 29141, 6874
0, 46257, 28861, 0
0, 10668, 0, 0
17352, 22046, 30367, 0
0, 19017, 31085, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 30932, 0
0, 32774, 0, 6866
0, 20274, 30411, 0
0, 0, 29989, 0
0, 15192, 30513, 6902
0, 21701, 31126, 6460
18137, 9522, 30361, 7168
18131, 21658, 0, 5360
16159, 0, 0, 6729
17631, 22459, 0, 6363
0, 0, 0, 0
17506, 22050, 30847, 6075
18360, 15277, 26903, 5577
18403, 47508, 0, 6962
0, 0, 0, 6153
16026, 0, 0, 7027
0, 0, 0, 0
0, 0, 0, 0
18610, 0, 0, 0
17771, 0, 0, 0
17641, 24493, 0, 6645
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
18166, 36293, 0, 5206
18738, 22788, 30066, 6408
18644, 22075, 0, 0
18218, 18073, 24633, 6669
0, 14499, 30275, 5625
18305, 32737, 0, 0
0, 36433, 30575, 6474
0, 0, 31163, 0
18949, 9392, 30402, 0
0, 0, 0, 0
0, 0, 30652, 5288
0, 31545, 30603, 5704
0, 0, 0, 0
18624, 0, 0, 0
0, 0, 0, 0
0, 0, 29613, 0
0, 0, 0, 0
0, 0, 0, 0
17694, 0, 30805, 0
17671, 9500, 0, 0
