mit, all, rl, call4
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 843, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 5348, 5065
0, 985, 6272, 0
0, 923, 4900, 4711
5125, 1009, 0, 0
4680, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
5736, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
5111, 0, 0, 0
4345, 0, 0, 0
0, 0, 0, 0
4292, 0, 0, 0
4981, 687, 0, 4987
0, 0, 0, 3697
0, 0, 0, 4301
0, 0, 0, 3837
5622, 0, 0, 3222
5462, 0, 0, 0
6141, 0, 0, 0
0, 379, 0, 0
0, 0, 0, 0
0, 0, 5092, 5366
5946, 0, 0, 4763
5435, 0, 0, 3540
5974, 0, 5087, 4730
0, 0, 0, 0
0, 0, 3760, 4072
0, 0, 4736, 0
0, 248, 0, 6393
6589, 0, 3544, 6421
4762, 0, 0, 0
3775, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 4066
0, 0, 0, 0
4886, 0, 0, 0
0, 0, 0, 0
0, 602, 0, 0
0, 0, 0, 3508
0, 525, 0, 3389
4574, 950, 5615, 6033
0, 0, 0, 4341
6142, 0, 0, 0
5362, 0, 0, 3660
5172, 674, 0, 0
0, 811, 0, 0
4521, 0, 0, 0
4734, 0, 0, 0
5045, 1041, 5157, 5229
6393, 1060, 5374, 3509
4303, 0, 0, 0
0, 924, 6180, 0
5894, 980, 5825, 3881
5993, 803, 6761, 6390
5459, 0, 0, 0
4981, 0, 5871, 0
0, 1030, 0, 0
5037, 1032, 5473, 0
4869, 928, 6245, 5359
0, 947, 4835, 0
3537, 0, 6058, 3654
4162, 1026, 6187, 4046
4699, 926, 0, 3655
0, 908, 0, 6416
4669, 969, 0, 5547
4312, 936, 0, 0
5421, 854, 5896, 4852
4825, 893, 4645, 4943
6148, 905, 6286, 6236
3799, 898, 5793, 2395
5534, 958, 0, 5559
4896, 1021, 5481, 4659
0, 903, 6015, 3680
4838, 959, 6228, 4005
6180, 995, 0, 4053
5555, 950, 5277, 4286
6246, 898, 0, 3731
0, 1047, 5395, 5218
0, 1023, 6222, 5293
4693, 944, 6070, 4208
0, 993, 5760, 3905
0, 1095, 0, 4299
4958, 1089, 5254, 5653
0, 1047, 5652, 3921
0, 1067, 5537, 0
0, 0, 5779, 3955
0, 0, 6357, 0
0, 0, 5973, 0
0, 0, 6135, 0
0, 0, 5673, 5858
0, 1104, 5769, 0
0, 0, 6246, 5684
0, 1100, 6232, 0
0, 806, 0, 0
5655, 937, 5194, 0
0, 884, 5581, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 5491, 0
0, 834, 0, 6186
0, 816, 5841, 0
0, 0, 5773, 0
0, 666, 5398, 6263
0, 787, 4685, 5409
5234, 665, 5589, 6616
5340, 858, 0, 3720
6609, 0, 0, 5171
5921, 824, 0, 4461
0, 0, 0, 0
5744, 859, 5642, 4668
5532, 721, 6289, 4891
6377, 1049, 0, 5762
0, 0, 0, 4441
3896, 0, 0, 6581
0, 0, 0, 0
0, 0, 0, 0
5266, 0, 0, 0
4562, 0, 0, 0
4290, 861, 0, 4659
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
5035, 1029, 0, 2932
4803, 796, 5460, 4987
4918, 802, 0, 0
4930, 774, 6029, 5039
0, 759, 5917, 3095
4767, 935, 0, 0
0, 1046, 5132, 5122
0, 0, 5232, 0
4929, 681, 4269, 0
0, 0, 0, 0
0, 0, 4641, 3710
0, 978, 4978, 4009
0, 0, 0, 0
5752, 0, 0, 0
0, 0, 0, 0
0, 0, 4229, 0
0, 0, 0, 0
0, 0, 0, 0
4670, 0, 5121, 0
4887, 600, 0, 0
