mit, all, rl, call4
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 80481, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 16140, 2386
0, 72395, 33705, 0
0, 70896, 8295, 1058
6842, 72297, 0, 0
6871, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
11512, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
4419, 0, 0, 0
3965, 0, 0, 0
0, 0, 0, 0
4311, 0, 0, 0
9023, 92498, 0, 1162
0, 0, 0, 707
0, 0, 0, 1471
0, 0, 0, 1048
8201, 0, 0, 1176
8841, 0, 0, 0
9388, 0, 0, 0
0, 117176, 0, 0
0, 0, 0, 0
0, 0, 13144, 2446
12240, 0, 0, 1408
12432, 0, 0, 808
10368, 0, 10950, 2094
0, 0, 0, 0
0, 0, 5452, 1076
0, 0, 7181, 0
0, 126653, 0, 3189
15370, 0, 2265, 3679
6535, 0, 0, 0
2549, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 798
0, 0, 0, 0
7585, 0, 0, 0
0, 0, 0, 0
0, 102581, 0, 0
0, 0, 0, 1004
0, 105111, 0, 625
4496, 74239, 17512, 4044
0, 0, 0, 1466
11953, 0, 0, 0
9384, 0, 0, 1623
5561, 94075, 0, 0
0, 82206, 0, 0
4853, 0, 0, 0
5203, 0, 0, 0
7420, 52684, 8777, 2152
13585, 55215, 13904, 903
3994, 0, 0, 0
0, 55288, 37248, 0
10629, 65442, 12040, 874
15732, 76167, 29024, 3444
8581, 0, 0, 0
6053, 0, 18649, 0
0, 58546, 0, 0
7055, 54861, 15179, 0
7693, 52956, 26906, 1332
0, 45951, 11489, 0
2908, 0, 28834, 773
5702, 37818, 14847, 1682
8143, 53714, 0, 458
0, 47777, 0, 6166
6768, 43120, 0, 2000
4067, 36669, 0, 0
5777, 24299, 16066, 2538
5064, 25983, 8570, 1549
20036, 27504, 18332, 3368
2403, 39721, 21802, 464
8757, 32699, 0, 2977
5885, 40610, 11451, 2128
0, 30175, 32455, 1252
5192, 40975, 18766, 1260
13091, 42923, 0, 1299
12036, 45693, 10392, 1467
13062, 35957, 0, 731
0, 40253, 15757, 2036
0, 43035, 19172, 3278
6941, 32808, 15231, 1496
0, 54738, 27976, 819
0, 47670, 0, 1022
7177, 28431, 12391, 1466
0, 60693, 12473, 924
0, 58885, 13119, 0
0, 0, 10127, 1343
0, 0, 39475, 0
0, 0, 15374, 0
0, 0, 19408, 0
0, 0, 14306, 3277
0, 52995, 21991, 0
0, 0, 22115, 2024
0, 49995, 24625, 0
0, 84306, 0, 0
15469, 68307, 10081, 0
0, 74752, 13043, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 15917, 0
0, 66584, 0, 2431
0, 80118, 18723, 0
0, 0, 18895, 0
0, 85894, 15819, 1705
0, 75618, 8873, 1615
5350, 84936, 14873, 3326
7497, 72823, 0, 703
18664, 0, 0, 3359
14248, 70831, 0, 1367
0, 0, 0, 0
12562, 71835, 12793, 1102
8389, 71950, 29962, 1106
8430, 46926, 0, 3226
0, 0, 0, 1140
2255, 0, 0, 3450
0, 0, 0, 0
0, 0, 0, 0
6674, 0, 0, 0
4871, 0, 0, 0
4149, 70006, 0, 2234
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
8331, 50742, 0, 740
5189, 68033, 15399, 1842
9190, 63021, 0, 0
6155, 69774, 32275, 2096
0, 78010, 16082, 865
6784, 62950, 0, 0
0, 58390, 10700, 1531
0, 0, 10651, 0
7646, 97611, 7121, 0
0, 0, 0, 0
0, 0, 9071, 682
0, 68537, 15547, 900
0, 0, 0, 0
9369, 0, 0, 0
0, 0, 0, 0
0, 0, 5666, 0
0, 0, 0, 0
0, 0, 0, 0
4487, 0, 13034, 0
4898, 105832, 0, 0
