mit, all, rl, call4
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 87416, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 6168, 457
0, 94400, 8135, 0
0, 96985, 4195, 239
2505, 88095, 0, 0
2350, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
2833, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
1698, 0, 0, 0
1724, 0, 0, 0
0, 0, 0, 0
2037, 0, 0, 0
2632, 73510, 0, 273
0, 0, 0, 190
0, 0, 0, 302
0, 0, 0, 331
2239, 0, 0, 255
2585, 0, 0, 0
2446, 0, 0, 0
0, 64465, 0, 0
0, 0, 0, 0
0, 0, 5814, 398
2877, 0, 0, 262
2627, 0, 0, 236
2508, 0, 5115, 346
0, 0, 0, 0
0, 0, 3250, 225
0, 0, 3748, 0
0, 60291, 0, 436
3295, 0, 1877, 498
2286, 0, 0, 0
1228, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 186
0, 0, 0, 0
2372, 0, 0, 0
0, 0, 0, 0
0, 73948, 0, 0
0, 0, 0, 320
0, 88279, 0, 218
2062, 96088, 6552, 602
0, 0, 0, 312
2955, 0, 0, 0
2870, 0, 0, 308
1813, 82878, 0, 0
0, 91076, 0, 0
2089, 0, 0, 0
1961, 0, 0, 0
2701, 100891, 4411, 384
3114, 105562, 5775, 302
1531, 0, 0, 0
0, 118630, 8358, 0
3006, 105355, 4272, 234
3223, 104041, 6931, 344
2519, 0, 0, 0
2292, 0, 6976, 0
0, 113736, 0, 0
2259, 117442, 6463, 0
2661, 118989, 7904, 363
0, 122956, 5573, 0
1382, 0, 7706, 218
2264, 114544, 5451, 286
2708, 118431, 0, 143
0, 115191, 0, 660
2334, 112761, 0, 286
1850, 116252, 0, 0
1855, 110577, 5681, 458
1837, 115325, 4777, 266
3817, 120990, 6061, 519
1191, 123676, 6810, 138
2715, 118735, 0, 480
2162, 117204, 4746, 406
0, 118570, 7718, 344
1961, 120761, 5813, 303
3055, 120502, 0, 270
3059, 116853, 4843, 331
3067, 126738, 0, 237
0, 120894, 5894, 400
0, 120246, 6341, 546
2676, 112852, 6119, 345
0, 107199, 7799, 197
0, 105521, 0, 235
2234, 106878, 5647, 298
0, 97705, 5401, 261
0, 102028, 5517, 0
0, 0, 4733, 354
0, 0, 8752, 0
0, 0, 5858, 0
0, 0, 6398, 0
0, 0, 6077, 592
0, 102546, 7202, 0
0, 0, 6611, 408
0, 100942, 6807, 0
0, 85654, 0, 0
3350, 99882, 5061, 0
0, 96197, 5271, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 6062, 0
0, 103986, 0, 382
0, 98638, 5977, 0
0, 0, 6539, 0
0, 95957, 5863, 362
0, 105219, 4604, 352
1910, 103865, 5873, 540
2345, 102922, 0, 242
3625, 0, 0, 522
3223, 108418, 0, 345
0, 0, 0, 0
3145, 101305, 5619, 293
2659, 112584, 7546, 250
2428, 107762, 0, 426
0, 0, 0, 281
1138, 0, 0, 512
0, 0, 0, 0
0, 0, 0, 0
2106, 0, 0, 0
1923, 0, 0, 0
1618, 92821, 0, 419
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
2755, 110131, 0, 192
2256, 106053, 6579, 421
2737, 115949, 0, 0
2158, 111219, 8283, 354
0, 100860, 5932, 237
2310, 103284, 0, 0
0, 104279, 5549, 289
0, 0, 5014, 0
2588, 69516, 4273, 0
0, 0, 0, 0
0, 0, 5316, 172
0, 88912, 6586, 233
0, 0, 0, 0
2498, 0, 0, 0
0, 0, 0, 0
0, 0, 3885, 0
0, 0, 0, 0
0, 0, 0, 0
1672, 0, 5806, 0
1834, 56971, 0, 0
