X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
 call4, all,0.299,0.12907864,0.014389992,0.27702,4.321928,0.41221517
 call4, rl,0.26113,0.131427,0.021950006,0.24821,4.321928,0.36014304
 rl, all,0.253,0.102540225,0.030069992,0.23814,4.321928,0.38789144
 all,mit,0.22556,0.16309315,0.033930004,0.21275,4.321928,0.24993369
 call4,mit,0.19785,0.14100666,0.019979998,0.18664,4.321928,0.23841842
 rl,mit,0.19206,0.19191131,0.028439999,0.17845,4.321928,0.012193366
