X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
 call4, all,0.34765,0.1856044,0.044449985,0.32335,4.321928,0.40254888
 rl, all,0.323,0.2237907,0.040780008,0.30549,4.321928,0.31497508
 call4, rl,0.25035,0.14460702,0.015650004,0.22954,4.321928,0.32518145
 call4,mit,0.23122,0.19596685,0.05358,0.20827,4.321928,0.18775822
 all,mit,0.20568,0.13369939,0.019449994,0.19047,4.321928,0.268292
 rl,mit,0.17632,0.1761914,0.042479992,0.16837,4.321928,0.01133978
